candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required,incorporated_alias_batch,incorporated_at
레플로신정100밀리그램(레보플록사신수화물),레보플록사신,201901699,레플로신정100밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201901699,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
레플록신정500mg(레보플록사신),레보플록사신,201508138,레플록신정500mg(레보플록사신),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201508138,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
렉타신정250밀리그램(레보플록사신수화물),레보플록사신,200804225,렉타신정250밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200804225,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
리플록신정100밀리그램(레보플록사신수화물),레보플록사신,201404979,리플록신정100밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201404979,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
리플록신정250밀리그램(레보플록사신수화물),레보플록사신,202001396,리플록신정250밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202001396,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
리플록신정500밀리그램(레보플록사신수화물),레보플록사신,202002669,리플록신정500밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202002669,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
셀트리온레보플록사신정100밀리그램(레보플록사신수화물),레보플록사신,201603130,셀트리온레보플록사신정100밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201603130,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
알피레보플록사신정100밀리그램(레보플록사신수화물),레보플록사신,201403186,알피레보플록사신정100밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201403186,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
알피레보플록사신정250mg(레보플록사신수화물),레보플록사신,201702349,알피레보플록사신정250mg(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201702349,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
원플록신정(레보플록사신수화물),레보플록사신,199801522,원플록신정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199801522,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
