candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,is_combination,combination_basis_ingredient,combination_notice_required,combo_relation_ingredient_count,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required,incorporated_alias_batch,incorporated_at
"가드메트정100/1000밀리그램(아나글립틴, 메트포르민)",메트포르민,201600170,"가드메트정100/1000밀리그램(아나글립틴, 메트포르민)",메트포르민염산염 / 아나글립틴,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201600170,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
가드메트정100/500밀리그램,메트포르민,201600172,가드메트정100/500밀리그램,메트포르민염산염 / 아나글립틴,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201600172,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
"가드메트정100/850밀리그램(아나글립틴, 메트포르민)",메트포르민,201600171,"가드메트정100/850밀리그램(아나글립틴, 메트포르민)",메트포르민염산염 / 아나글립틴,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201600171,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
가브스메트정50/1000밀리그램,메트포르민,200803517,가브스메트정50/1000밀리그램,메트포르민염산염 / 빌다글립틴,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200803517,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
가브스메트정50/500밀리그램,메트포르민,201206684,가브스메트정50/500밀리그램,메트포르민염산염 / 빌다글립틴,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201206684,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
가브스메트정50/850밀리그램,메트포르민,200803516,가브스메트정50/850밀리그램,메트포르민염산염 / 빌다글립틴,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200803516,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
가블리메트정,메트포르민,202107111,가블리메트정,메트포르민염산염 / 빌다글립틴,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202107111,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
게리드엠정,메트포르민,201107514,게리드엠정,글리메피리드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201107514,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
게리메트정2/500밀리그램,메트포르민,201107221,게리메트정2/500밀리그램,글리메피리드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201107221,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
광동메포시타정50/1000밀리그램,메트포르민,202200318,광동메포시타정50/1000밀리그램,메트포르민염산염 콜로이드성이산화규소 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202200318,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
