candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,is_combination,combination_basis_ingredient,combination_notice_required,combo_relation_ingredient_count,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required
"고려칸데사르탄플러스정(칸데사르탄실렉세틸,히드로클로로티아지드)",히드로클로로티아지드,200904344,"고려칸데사르탄플러스정(칸데사르탄실렉세틸,히드로클로로티아지드)",칸데사르탄실렉세틸 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200904344,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
국제로잘탄플러스에프정,히드로클로로티아지드,200607692,국제로잘탄플러스에프정,로사르탄칼륨 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200607692,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
국제로잘탄플러스정,히드로클로로티아지드,200607693,국제로잘탄플러스정,로사르탄칼륨 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200607693,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
글로아타플러스정,히드로클로로티아지드,201208433,글로아타플러스정,칸데사르탄실렉세틸 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201208433,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
네오반플러스정,히드로클로로티아지드,200806640,네오반플러스정,발사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200806640,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
네오칸데플러스정,히드로클로로티아지드,201500210,네오칸데플러스정,칸데사르탄실렉세틸 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201500210,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
뉴로탄플러스에프정,히드로클로로티아지드,200607908,뉴로탄플러스에프정,로사르탄칼륨 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200607908,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
뉴로탄플러스정,히드로클로로티아지드,200607907,뉴로탄플러스정,로사르탄칼륨 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200607907,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
뉴비카플러스정10/40/12.5밀리그램,히드로클로로티아지드,201805263,뉴비카플러스정10/40/12.5밀리그램,암로디핀베실산염 / 올메사탄메독소밀 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201805263,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
뉴비카플러스정5/20/12.5밀리그램,히드로클로로티아지드,201805262,뉴비카플러스정5/20/12.5밀리그램,암로디핀베실산염 / 올메사탄메독소밀 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201805262,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
