candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,reason,reviewer_required,incorporated,incorporated_at,incorporated_alias_batch
덴티스타캡슐(독시사이클린하이클레이트수화물),독시사이클린,200002882,덴티스타캡슐(독시사이클린하이클레이트수화물),독시사이클린하이클레이트수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200002882,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
독시정(독시사이클린수화물),독시사이클린,201403031,독시정(독시사이클린수화물),독시사이클린수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201403031,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
모노신정(독시사이클린하이클레이트수화물),독시사이클린,198300718,모노신정(독시사이클린하이클레이트수화물),독시사이클린하이클레이트수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198300718,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
씬지로이드정0.05밀리그램(레보티록신나트륨수화물),레보티록신,200401821,씬지로이드정0.05밀리그램(레보티록신나트륨수화물),레보티록신나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200401821,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
씬지로이드정0.15밀리그램(레보티록신나트륨수화물),레보티록신,200501664,씬지로이드정0.15밀리그램(레보티록신나트륨수화물),레보티록신나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200501664,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
씬지로이드정0.1밀리그램(레보티록신나트륨수화물),레보티록신,197400278,씬지로이드정0.1밀리그램(레보티록신나트륨수화물),레보티록신나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=197400278,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
씬지록신정100마이크로그램(레보티록신나트륨수화물),레보티록신,200301116,씬지록신정100마이크로그램(레보티록신나트륨수화물),레보티록신나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200301116,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
씬지록신정150마이크로그램(레보티록신나트륨수화물),레보티록신,201604650,씬지록신정150마이크로그램(레보티록신나트륨수화물),레보티록신나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201604650,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
글로비트정(레보플록사신수화물),레보플록사신,201207060,글로비트정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201207060,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
네보락신정(레보플록사신수화물),레보플록사신,199901759,네보락신정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199901759,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
노팍신정(레보플록사신수화물),레보플록사신,200001521,노팍신정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200001521,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
