canonical_ingredient,candidate_alias,status,reason,risk_level,candidate_type,item_seq,item_name,ingr_name,source_url,source_method,source_checked_at,confidence,exclusion_reason,reviewer,batch_id,detail_confirmed,detail_source_method,detail_checked_at,detail_item_seq,detail_item_name,detail_ingr_name,detail_match_result,incorporated_at
독시사이클린,국제독시사이클린하이클레이트수화물캡슐100밀리그램,pending,nedrug searchDrug 발견 → getItemDetail 상세확정: 품목명 '국제독시사이클린하이클레이트수화물캡슐100밀리그램' · 단일 주성분 '독시사이클린하이클레이트수화물'(canonical 독시사이클린 포함). 사람 검토 후 batch 반영 대상 | 기존 alias가 동일 itemSeq(동일 제품) 보유 → approved-ready 제외(중복),low,product_full_name,198000105,국제독시사이클린하이클레이트수화물캡슐100밀리그램,독시사이클린하이클레이트수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198000105,nedrug.getItemDetail,2026-06-11,high,,,v0.5-002,true,nedrug.getItemDetail,2026-06-11,198000105,국제독시사이클린하이클레이트수화물캡슐100밀리그램,독시사이클린하이클레이트수화물,confirmed_redundant_itemseq,
독시사이클린,덴티스타캡슐(독시사이클린하이클레이트수화물),approved,nedrug searchDrug 발견 → getItemDetail 상세확정: 품목명 '덴티스타캡슐(독시사이클린하이클레이트수화물)' · 단일 주성분 '독시사이클린하이클레이트수화물'(canonical 독시사이클린 포함). 사람 검토 후 batch 반영 대상 | Phase4 batch1 alias 반영(2026-06-11),low,product_full_name,200002882,덴티스타캡슐(독시사이클린하이클레이트수화물),독시사이클린하이클레이트수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200002882,nedrug.getItemDetail,2026-06-11,high,,v0.5-phase4-batch1,v0.5-002,true,nedrug.getItemDetail,2026-06-11,200002882,덴티스타캡슐(독시사이클린하이클레이트수화물),독시사이클린하이클레이트수화물,confirmed,2026-06-11
독시사이클린,독시라마이신캡슐100mg(독시사이클린수화물),approved,nedrug searchDrug 발견 → getItemDetail 상세확정: 품목명 '독시라마이신캡슐100mg(독시사이클린수화물)' · 단일 주성분 '독시사이클린수화물'(canonical 독시사이클린 포함). 사람 검토 후 batch 반영 대상,low,product_full_name,201406196,독시라마이신캡슐100mg(독시사이클린수화물),독시사이클린수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201406196,nedrug.getItemDetail,2026-06-11,high,,v0.5-phase6-batch2,v0.5-005,true,nedrug.getItemDetail,2026-06-11,201406196,독시라마이신캡슐100mg(독시사이클린수화물),독시사이클린수화물,confirmed,2026-06-11
독시사이클린,독시메디정(독시사이클린수화물),approved,nedrug searchDrug 발견 → getItemDetail 상세확정: 품목명 '독시메디정(독시사이클린수화물)' · 단일 주성분 '독시사이클린수화물'(canonical 독시사이클린 포함). 사람 검토 후 batch 반영 대상,low,product_full_name,201908023,독시메디정(독시사이클린수화물),독시사이클린수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201908023,nedrug.getItemDetail,2026-06-11,high,,v0.5-phase6-batch2,v0.5-005,true,nedrug.getItemDetail,2026-06-11,201908023,독시메디정(독시사이클린수화물),독시사이클린수화물,confirmed,2026-06-11
독시사이클린,독시엔디정(독시사이클린수화물),approved,nedrug searchDrug 발견 → getItemDetail 상세확정: 품목명 '독시엔디정(독시사이클린수화물)' · 단일 주성분 '독시사이클린수화물'(canonical 독시사이클린 포함). 사람 검토 후 batch 반영 대상,low,product_full_name,201507460,독시엔디정(독시사이클린수화물),독시사이클린수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201507460,nedrug.getItemDetail,2026-06-11,high,,v0.5-phase6-batch2,v0.5-005,true,nedrug.getItemDetail,2026-06-11,201507460,독시엔디정(독시사이클린수화물),독시사이클린수화물,confirmed,2026-06-11
독시사이클린,독시정(독시사이클린수화물),approved,nedrug searchDrug 발견 → getItemDetail 상세확정: 품목명 '독시정(독시사이클린수화물)' · 단일 주성분 '독시사이클린수화물'(canonical 독시사이클린 포함). 사람 검토 후 batch 반영 대상 | Phase4 batch1 alias 반영(2026-06-11),low,product_full_name,201403031,독시정(독시사이클린수화물),독시사이클린수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201403031,nedrug.getItemDetail,2026-06-11,high,,v0.5-phase4-batch1,v0.5-002,true,nedrug.getItemDetail,2026-06-11,201403031,독시정(독시사이클린수화물),독시사이클린수화물,confirmed,2026-06-11
독시사이클린,독시크정50밀리그램(독시사이클린수화물),approved,nedrug searchDrug 발견 → getItemDetail 상세확정: 품목명 '독시크정50밀리그램(독시사이클린수화물)' · 단일 주성분 '독시사이클린수화물'(canonical 독시사이클린 포함). 사람 검토 후 batch 반영 대상,low,product_full_name,202202687,독시크정50밀리그램(독시사이클린수화물),독시사이클린수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202202687,nedrug.getItemDetail,2026-06-11,high,,v0.5-phase6-batch2,v0.5-005,true,nedrug.getItemDetail,2026-06-11,202202687,독시크정50밀리그램(독시사이클린수화물),독시사이클린수화물,confirmed,2026-06-11
독시사이클린,모노신정(독시사이클린하이클레이트수화물),approved,nedrug searchDrug 발견 → getItemDetail 상세확정: 품목명 '모노신정(독시사이클린하이클레이트수화물)' · 단일 주성분 '독시사이클린하이클레이트수화물'(canonical 독시사이클린 포함). 사람 검토 후 batch 반영 대상 | Phase4 batch1 alias 반영(2026-06-11),low,product_full_name,198300718,모노신정(독시사이클린하이클레이트수화물),독시사이클린하이클레이트수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198300718,nedrug.getItemDetail,2026-06-11,high,,v0.5-phase4-batch1,v0.5-002,true,nedrug.getItemDetail,2026-06-11,198300718,모노신정(독시사이클린하이클레이트수화물),독시사이클린하이클레이트수화물,confirmed,2026-06-11
독시사이클린,바이독시정(독시사이클린수화물),approved,nedrug searchDrug 발견 → getItemDetail 상세확정: 품목명 '바이독시정(독시사이클린수화물)' · 단일 주성분 '독시사이클린수화물'(canonical 독시사이클린 포함). 사람 검토 후 batch 반영 대상,low,product_full_name,201506123,바이독시정(독시사이클린수화물),독시사이클린수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201506123,nedrug.getItemDetail,2026-06-11,high,,v0.5-phase8-batch3,v0.5-005,true,nedrug.getItemDetail,2026-06-11,201506123,바이독시정(독시사이클린수화물),독시사이클린수화물,confirmed,2026-06-11
독시사이클린,"신일모노독시엠캡슐
(독시사이클린수화물)",pending,"nedrug searchDrug(ingrName1=독시사이클린) 결과 단일 주성분 '독시사이클린수화물' 확인(완제·경구·정상). getItemDetail 상세 미실행 → 승인 전 원문 확인 필요 | 표면형 개행/제어공백 — Phase 2 정제 필요, approved-ready 제외(pending 유지)",low,product_full_name,199602155,"신일모노독시엠캡슐
(독시사이클린수화물)",독시사이클린수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199602155,nedrug.searchDrug,2026-06-11,medium,,,v0.5-002,,nedrug.getItemDetail,2026-06-11,199602155,신일모노독시엠캡슐 (독시사이클린수화물),독시사이클린수화물,surface_form_whitespace,
