case,item_seq,item_name,ingredient_name,base,base_relation_nutrient,co_ingredient,overlap_with_relation,label,gate_to_convert,convert_tier
A,201004170,"리센플러스정(리세드론산나트륨,콜레칼시페롤)",리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201004171,"리세넥스플러스정(리세드론산나트륨2.5수화물, 콜레칼시페롤농축물(분말형))",리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201202525,"리도넬디정(리세드론산,콜레칼시페롤)",리세드론산나트륨2.5수화물/콜레칼시페롤,리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201202526,"리세넥스엠정(리세드론산나트륨2.5수화물, 콜레칼시페롤)",리세드론산나트륨2.5수화물/콜레칼시페롤,리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201308067,본비바플러스정,이반드론산나트륨일수화물/콜레칼시페롤농축분말,이반드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604117,드로넬플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604118,포스넬플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604119,포스넬엠정,리세드론산나트륨2.5수화물/콜레칼시페롤,리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604675,알토리톤플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604677,리세드플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604686,리세네플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604687,휴드론플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604692,세로본플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604693,오스톨플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604694,악토론플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604695,본세론플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
