rank,ingredient_name,product_count,therapeutic_class,relation_covered,relation_card_products,covered_base_ingredient,in_popular_seed,sensitive_hold,queue_action
1,프레가발린,200,신경/뇌,no,0,,yes,no,source_check_candidate
2,피나스테리드,193,비뇨/전립선,no,0,,yes,no,source_check_candidate
3,몬테루카스트나트륨,186,호흡기/알레르기,no,0,,yes,no,source_check_candidate
4,라베프라졸나트륨,174,소화/위장,yes,174,라베프라졸,yes,no,covered
5,모사프리드시트르산염수화물,160,소화/위장,no,0,,yes,no,source_check_candidate
6,탐스로신염산염,160,비뇨/전립선,no,0,,yes,no,source_check_candidate
7,아목시실린수화물/묽은클라불란산칼륨,159,항생/항균,no,0,,yes,no,source_check_candidate
8,플루코나졸,156,항진균,no,0,,no,no,source_check_candidate
9,타다라필,150,비뇨/전립선,no,0,,no,no,source_check_candidate
10,레바미피드,149,소화/위장,no,0,,yes,no,source_check_candidate
11,도네페질염산염수화물,146,신경/뇌,no,0,,yes,no,source_check_candidate
12,클래리트로마이신,144,항생/항균,no,0,,yes,no,source_check_candidate
13,아세클로페낙,143,해열진통/소염,no,0,,yes,no,source_check_candidate
14,에페리손염산염,142,해열진통/소염,no,0,,no,no,source_check_candidate
15,가바펜틴,137,신경/뇌,no,0,,yes,no,source_check_candidate
16,글리메피리드,136,당뇨,no,0,,yes,no,source_check_candidate
17,록소프로펜나트륨수화물,135,해열진통/소염,no,0,,yes,no,source_check_candidate
18,세파클러수화물,134,항생/항균,no,0,,yes,no,source_check_candidate
19,쿠에티아핀푸마르산염,130,정신건강(민감),no,0,,yes,yes,source_check_hold(sensitive)
20,사르포그렐레이트염산염,120,고혈압/심혈관,no,0,,no,no,source_check_candidate
21,레보드로프로피진,119,호흡기/알레르기,no,0,,yes,no,source_check_candidate
22,솔리페나신숙신산염,115,비뇨/전립선,no,0,,no,no,source_check_candidate
23,토피라메이트,115,신경/뇌,no,0,,no,no,source_check_candidate
24,테르비나핀염산염,114,항진균,no,0,,no,no,source_check_candidate
25,메트포르민,113,당뇨,yes,113,메트포르민,yes,no,covered
26,히드로클로로티아지드,113,고혈압/심혈관,yes,113,히드로클로로티아지드,yes,no,covered
27,플루옥세틴염산염,110,기타,no,0,,no,no,source_check_candidate
28,메만틴염산염,109,신경/뇌,no,0,,no,no,source_check_candidate
29,에르도스테인,109,기타,no,0,,no,no,source_check_candidate
30,파모티딘,106,소화/위장,no,0,,yes,no,source_check_candidate
31,로수바스타틴칼슘,105,고지혈증,no,0,,yes,no,source_check_candidate
32,실로스타졸,103,고혈압/심혈관,no,0,,yes,no,source_check_candidate
33,에스시탈로프람옥살산염,103,정신건강(민감),no,0,,yes,yes,source_check_hold(sensitive)
34,로사르탄칼륨,101,고혈압/심혈관,no,0,,yes,no,source_check_candidate
35,오셀타미비르인산염,101,기타,no,0,,no,no,source_check_candidate
36,올로파타딘염산염,100,기타,no,0,,yes,no,source_check_candidate
37,아세트아미노펜/트라마돌염산염,99,해열진통/소염,no,0,,yes,no,source_check_candidate
38,덱시부프로펜,99,기타,no,0,,yes,no,source_check_candidate
39,멜록시캄,99,해열진통/소염,no,0,,yes,no,source_check_candidate
40,레보세티리진염산염,99,호흡기/알레르기,no,0,,yes,no,source_check_candidate
41,콜린알포세레이트,99,신경/뇌,no,0,,yes,no,source_check_candidate
42,베포타스틴베실산염,97,기타,no,0,,yes,no,source_check_candidate
43,이부프로펜,94,해열진통/소염,no,0,,yes,no,source_check_candidate
44,두타스테리드,94,비뇨/전립선,no,0,,yes,no,source_check_candidate
45,레보플록사신,91,항생/항균,yes,91,레보플록사신,yes,no,covered
46,트라마돌염산염/아세트아미노펜,88,해열진통/소염,no,0,,yes,no,source_check_candidate
