candidate_id,track,ingredient,nutrient,precheck_class,precheck_reason,risk_level
KPI-r1,kpi_scan,프레가발린,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r2,kpi_scan,피나스테리드,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r3,kpi_scan,몬테루카스트나트륨,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r5,kpi_scan,모사프리드시트르산염수화물,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r6,kpi_scan,탐스로신염산염,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r7,kpi_scan,아목시실린수화물/묽은클라불란산칼륨,,rejected_precheck,복합제(2성분 이상) — 단일 성분-영양소 모델 부적합·조성 트랩.,
KPI-r8,kpi_scan,플루코나졸,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r9,kpi_scan,타다라필,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r10,kpi_scan,레바미피드,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r11,kpi_scan,도네페질염산염수화물,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r12,kpi_scan,클래리트로마이신,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r13,kpi_scan,아세클로페낙,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
