priority_seed_rank,query_name,seed_category,common_brand,est_prevalence,confidence,note
1,아세트아미노펜,해열진통제/소염진통제,타이레놀,high,low,대표 OTC 해열진통제(검색량 데이터 아님·임상/OTC 인지도 추정)
2,이부프로펜,해열진통제/소염진통제,부루펜,high,low,OTC NSAID
3,아스피린,해열진통제/소염진통제,아스피린프로텍트,high,low,저용량 항혈소판 겸용 흔함
4,나프록센,해열진통제/소염진통제,낙센,medium,low,OTC/처방 NSAID
5,덱시부프로펜,해열진통제/소염진통제,이지엔6,medium,low,OTC NSAID
6,세레콕시브,해열진통제/소염진통제,쎄레브렉스,medium,low,COX-2 NSAID 처방
7,아세클로페낙,해열진통제/소염진통제,에어탈,medium,low,처방 NSAID 흔함
8,록소프로펜,해열진통제/소염진통제,록소닌,medium,low,처방 NSAID
9,멜록시캄,해열진통제/소염진통제,모빅,medium,low,처방 NSAID
10,디클로페낙,해열진통제/소염진통제,볼타렌,medium,low,처방/외용 NSAID
11,슈도에페드린,감기약/종합감기약,액티피드,medium,low,비충혈제거제
12,덱스트로메토르판,감기약/종합감기약,러미라,medium,low,진해제
13,클로르페니라민,감기약/종합감기약,페니라민,medium,low,1세대 항히스타민(감기약 성분)
14,구아이페네신,감기약/종합감기약,후투제린,low,low,거담제
15,암브록솔,감기약/종합감기약,뮤코펙트,medium,low,거담제
16,아세틸시스테인,감기약/종합감기약,뮤테란,medium,low,점액용해제
17,브롬헥신,감기약/종합감기약,비졸본,low,low,거담제
18,레보드로프로피진,감기약/종합감기약,레보투스,low,low,진해제
19,오메프라졸,소화제/위장약/PPI/H2,오엠피,high,low,PPI(기존 relation 13·14 커버)
20,에스오메프라졸,소화제/위장약/PPI/H2,넥시움,high,low,PPI(relation16 존재·카드 0건)
21,판토프라졸,소화제/위장약/PPI/H2,판토록,high,low,PPI(기존 후보 C01)
22,란소프라졸,소화제/위장약/PPI/H2,란스톤,medium,low,PPI(기존 후보 C02)
23,라베프라졸,소화제/위장약/PPI/H2,파리에트,medium,low,PPI(기존 후보 C03)
24,덱스란소프라졸,소화제/위장약/PPI/H2,덱실란트,low,low,PPI
25,파모티딘,소화제/위장약/PPI/H2,가스터,medium,low,H2 차단제
26,라푸티딘,소화제/위장약/PPI/H2,스토가,low,low,H2 차단제
27,니자티딘,소화제/위장약/PPI/H2,액시드,low,low,H2 차단제
28,모사프리드,소화제/위장약/PPI/H2,가스모틴,medium,low,위장운동촉진제
29,돔페리돈,소화제/위장약/PPI/H2,멕시롱,medium,low,위장운동촉진제
30,이토프리드,소화제/위장약/PPI/H2,가나톤,low,low,위장운동촉진제
31,레바미피드,소화제/위장약/PPI/H2,무코스타,medium,low,위점막보호제
32,트리메부틴,소화제/위장약/PPI/H2,포리부틴,medium,low,기능성 위장관 조절
33,판크레아틴,소화제/위장약/PPI/H2,베스자임,low,low,소화효소제(복합)
34,세티리진,항히스타민/알레르기약,지르텍,high,low,2세대 항히스타민
35,레보세티리진,항히스타민/알레르기약,씨잘,medium,low,2세대 항히스타민
36,로라타딘,항히스타민/알레르기약,클라리틴,medium,low,2세대 항히스타민
