item_seq,item_name,ppi_base,co_ingredient,co_ingredient_role,prior_classification,new_track,current_display,flip_this_step,future_flip_precondition,future_combination_basis,future_source_relation_ids,future_combination_other_label,banner_needed_now,banner_needed_if_flipped,notes
202300167,란소앤정30/600밀리그램,란소프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 란소프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),란소프라졸,"[36,37]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202300168,란탄듀오정30/600밀리그램,란소프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 란소프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),란소프라졸,"[36,37]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202300169,"란사톤듀오정30/600밀리그램(란소프라졸, 침강탄산칼슘)",란소프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 란소프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),란소프라졸,"[36,37]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202300170,란소듀오정30/600밀리그램,란소프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 란소프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),란소프라졸,"[36,37]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202300171,뉴란소엑스정30/600밀리그램,란소프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 란소프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),란소프라졸,"[36,37]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202300177,란스타정30/600밀리그램,란소프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 란소프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),란소프라졸,"[36,37]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202301789,"라베가드정20/600밀리그램(라베프라졸나트륨,침강탄산칼슘)",라베프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 라베프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),라베프라졸,"[32,33]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202400481,"라베가드정10/600밀리그램(라베프라졸나트륨,침강탄산칼슘)",라베프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 라베프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),라베프라졸,"[32,33]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202401498,"라베드온정10/600mg(라베프라졸나트륨, 침강탄산칼슘)",라베프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 라베프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),라베프라졸,"[32,33]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202401499,"라베드온정20/600mg(라베프라졸나트륨, 침강탄산칼슘)",라베프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 라베프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),라베프라졸,"[32,33]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202500561,"란소앤정15/600밀리그램(란소프라졸,침강탄산칼슘)",란소프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 란소프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),란소프라졸,"[36,37]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202500562,"란탄듀오정15/600밀리그램(란소프라졸,침강탄산칼슘)",란소프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 란소프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),란소프라졸,"[36,37]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202500563,"란사톤듀오정15/600밀리그램(란소프라졸,침강탄산칼슘)",란소프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 란소프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),란소프라졸,"[36,37]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202500564,"란스타정15/600밀리그램(란소프라졸,침강탄산칼슘)",란소프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 란소프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),란소프라졸,"[36,37]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
202500565,"란소듀오정15/600밀리그램(란소프라졸,침강탄산칼슘)",란소프라졸,침강탄산칼슘,위산 중화 완충/제산 성분(영양 칼슘 아님),tier-3 hold(전제: PPI×칼슘 relation 신규 필요),buffer_combo(칼슘 완충/제산 성분 복합제·B/D 계열),name_only,NO(이번 단계 flip 금지·name_only 유지),PM 승인 + COMBO_ALLOWED_BASIS에 란소프라졸 개방(란소프라졸 신규/라베프라졸 기존 B·D로 개방됨) + 버퍼-콤보 배너 배선(신규 relation 0),란소프라졸,"[36,37]",위산 중화 완충 성분(침강탄산칼슘),NO(name_only 중립 고지로 오해 위험 낮음),YES(필수·버퍼-콤보 배너 + other_label=완충성분 명시),칼슘=완충제라 PPI×칼슘 relation 불필요(reject 확정). other_label은 '칼슘'이 아니라 기능명으로 표기→'칼슘 추가복용' 오독 차단
