item_seq,item_name,ingredient_name,ppi_base,co_ingredient,current_display_mode,proposed_relation_theme,source_status,source_type,source_title,source_url_or_note,risk_level,decision,reason,next_action
202300167,란소앤정30/600밀리그램,란소프라졸/침강탄산칼슘,란소프라졸,침강탄산칼슘(칼슘),name_only,PPI×칼슘(흡수): 저산성→탄산칼슘 용해·흡수↓ 가설,missing(허가사항 PPI×칼슘 흡수 신호 0/18),MFDS 허가사항(nedrug getItemDetail),란소앤정30/600밀리그램,"https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202300167 | 칼슘=완충/제산 규정(YES), 골절=임상위험 진술(YES), PPI×칼슘흡수=없음",high,reject(신규 PPI×칼슘 relation 작성 불가) + hold(표시 name_only 유지),허가사항에 PPI가 칼슘 흡수를 저해한다는 상호작용 없음(0/18). 라벨의 칼슘 상호작용은 탄산칼슘 성분 자체 작용(테트라사이클린 흡수저해·고칼슘혈증)이며 PPI×칼슘 아님. 침강탄산칼슘은 위산 중화 완충제(영양 칼슘 아님)→흡수 카드 노출 시 '칼슘 추가복용/흡수 안됨' 오독 위험. 골절은 임상 위험 진술(MediStack 금지영역).,"신규 relation 불작성. 차기 PM 라운드 결정사항: (1) name_only 영구유지(가장 보수적) 또는 (2) C를 B/D 완충 복합제 배너 트랙으로 재분류(PPI basis ×B12/×Mg + 복합제 배너, 신규 relation 0). 단 (2)는 기존검토의 '칼슘 흡수 상호작용 미표현=불완전' 우려를 PM이 수용해야 함. 현 단계 무변경."
202300168,란탄듀오정30/600밀리그램,란소프라졸/침강탄산칼슘,란소프라졸,침강탄산칼슘(칼슘),name_only,PPI×칼슘(흡수): 저산성→탄산칼슘 용해·흡수↓ 가설,missing(허가사항 PPI×칼슘 흡수 신호 0/18),MFDS 허가사항(nedrug getItemDetail),란탄듀오정30/600밀리그램,"https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202300168 | 칼슘=완충/제산 규정(YES), 골절=임상위험 진술(YES), PPI×칼슘흡수=없음",high,reject(신규 PPI×칼슘 relation 작성 불가) + hold(표시 name_only 유지),허가사항에 PPI가 칼슘 흡수를 저해한다는 상호작용 없음(0/18). 라벨의 칼슘 상호작용은 탄산칼슘 성분 자체 작용(테트라사이클린 흡수저해·고칼슘혈증)이며 PPI×칼슘 아님. 침강탄산칼슘은 위산 중화 완충제(영양 칼슘 아님)→흡수 카드 노출 시 '칼슘 추가복용/흡수 안됨' 오독 위험. 골절은 임상 위험 진술(MediStack 금지영역).,"신규 relation 불작성. 차기 PM 라운드 결정사항: (1) name_only 영구유지(가장 보수적) 또는 (2) C를 B/D 완충 복합제 배너 트랙으로 재분류(PPI basis ×B12/×Mg + 복합제 배너, 신규 relation 0). 단 (2)는 기존검토의 '칼슘 흡수 상호작용 미표현=불완전' 우려를 PM이 수용해야 함. 현 단계 무변경."
202300169,"란사톤듀오정30/600밀리그램(란소프라졸, 침강탄산칼슘)",란소프라졸/침강탄산칼슘,란소프라졸,침강탄산칼슘(칼슘),name_only,PPI×칼슘(흡수): 저산성→탄산칼슘 용해·흡수↓ 가설,missing(허가사항 PPI×칼슘 흡수 신호 0/18),MFDS 허가사항(nedrug getItemDetail),"란사톤듀오정30/600밀리그램(란소프라졸, 침강탄산칼슘)","https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202300169 | 칼슘=완충/제산 규정(YES), 골절=임상위험 진술(YES), PPI×칼슘흡수=없음",high,reject(신규 PPI×칼슘 relation 작성 불가) + hold(표시 name_only 유지),허가사항에 PPI가 칼슘 흡수를 저해한다는 상호작용 없음(0/18). 라벨의 칼슘 상호작용은 탄산칼슘 성분 자체 작용(테트라사이클린 흡수저해·고칼슘혈증)이며 PPI×칼슘 아님. 침강탄산칼슘은 위산 중화 완충제(영양 칼슘 아님)→흡수 카드 노출 시 '칼슘 추가복용/흡수 안됨' 오독 위험. 골절은 임상 위험 진술(MediStack 금지영역).,"신규 relation 불작성. 차기 PM 라운드 결정사항: (1) name_only 영구유지(가장 보수적) 또는 (2) C를 B/D 완충 복합제 배너 트랙으로 재분류(PPI basis ×B12/×Mg + 복합제 배너, 신규 relation 0). 단 (2)는 기존검토의 '칼슘 흡수 상호작용 미표현=불완전' 우려를 PM이 수용해야 함. 현 단계 무변경."
202300170,란소듀오정30/600밀리그램,란소프라졸/침강탄산칼슘,란소프라졸,침강탄산칼슘(칼슘),name_only,PPI×칼슘(흡수): 저산성→탄산칼슘 용해·흡수↓ 가설,missing(허가사항 PPI×칼슘 흡수 신호 0/18),MFDS 허가사항(nedrug getItemDetail),란소듀오정30/600밀리그램,"https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202300170 | 칼슘=완충/제산 규정(YES), 골절=임상위험 진술(YES), PPI×칼슘흡수=없음",high,reject(신규 PPI×칼슘 relation 작성 불가) + hold(표시 name_only 유지),허가사항에 PPI가 칼슘 흡수를 저해한다는 상호작용 없음(0/18). 라벨의 칼슘 상호작용은 탄산칼슘 성분 자체 작용(테트라사이클린 흡수저해·고칼슘혈증)이며 PPI×칼슘 아님. 침강탄산칼슘은 위산 중화 완충제(영양 칼슘 아님)→흡수 카드 노출 시 '칼슘 추가복용/흡수 안됨' 오독 위험. 골절은 임상 위험 진술(MediStack 금지영역).,"신규 relation 불작성. 차기 PM 라운드 결정사항: (1) name_only 영구유지(가장 보수적) 또는 (2) C를 B/D 완충 복합제 배너 트랙으로 재분류(PPI basis ×B12/×Mg + 복합제 배너, 신규 relation 0). 단 (2)는 기존검토의 '칼슘 흡수 상호작용 미표현=불완전' 우려를 PM이 수용해야 함. 현 단계 무변경."
202300171,뉴란소엑스정30/600밀리그램,란소프라졸/침강탄산칼슘,란소프라졸,침강탄산칼슘(칼슘),name_only,PPI×칼슘(흡수): 저산성→탄산칼슘 용해·흡수↓ 가설,missing(허가사항 PPI×칼슘 흡수 신호 0/18),MFDS 허가사항(nedrug getItemDetail),뉴란소엑스정30/600밀리그램,"https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202300171 | 칼슘=완충/제산 규정(YES), 골절=임상위험 진술(YES), PPI×칼슘흡수=없음",high,reject(신규 PPI×칼슘 relation 작성 불가) + hold(표시 name_only 유지),허가사항에 PPI가 칼슘 흡수를 저해한다는 상호작용 없음(0/18). 라벨의 칼슘 상호작용은 탄산칼슘 성분 자체 작용(테트라사이클린 흡수저해·고칼슘혈증)이며 PPI×칼슘 아님. 침강탄산칼슘은 위산 중화 완충제(영양 칼슘 아님)→흡수 카드 노출 시 '칼슘 추가복용/흡수 안됨' 오독 위험. 골절은 임상 위험 진술(MediStack 금지영역).,"신규 relation 불작성. 차기 PM 라운드 결정사항: (1) name_only 영구유지(가장 보수적) 또는 (2) C를 B/D 완충 복합제 배너 트랙으로 재분류(PPI basis ×B12/×Mg + 복합제 배너, 신규 relation 0). 단 (2)는 기존검토의 '칼슘 흡수 상호작용 미표현=불완전' 우려를 PM이 수용해야 함. 현 단계 무변경."
202300177,란스타정30/600밀리그램,란소프라졸/침강탄산칼슘,란소프라졸,침강탄산칼슘(칼슘),name_only,PPI×칼슘(흡수): 저산성→탄산칼슘 용해·흡수↓ 가설,missing(허가사항 PPI×칼슘 흡수 신호 0/18),MFDS 허가사항(nedrug getItemDetail),란스타정30/600밀리그램,"https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202300177 | 칼슘=완충/제산 규정(YES), 골절=임상위험 진술(YES), PPI×칼슘흡수=없음",high,reject(신규 PPI×칼슘 relation 작성 불가) + hold(표시 name_only 유지),허가사항에 PPI가 칼슘 흡수를 저해한다는 상호작용 없음(0/18). 라벨의 칼슘 상호작용은 탄산칼슘 성분 자체 작용(테트라사이클린 흡수저해·고칼슘혈증)이며 PPI×칼슘 아님. 침강탄산칼슘은 위산 중화 완충제(영양 칼슘 아님)→흡수 카드 노출 시 '칼슘 추가복용/흡수 안됨' 오독 위험. 골절은 임상 위험 진술(MediStack 금지영역).,"신규 relation 불작성. 차기 PM 라운드 결정사항: (1) name_only 영구유지(가장 보수적) 또는 (2) C를 B/D 완충 복합제 배너 트랙으로 재분류(PPI basis ×B12/×Mg + 복합제 배너, 신규 relation 0). 단 (2)는 기존검토의 '칼슘 흡수 상호작용 미표현=불완전' 우려를 PM이 수용해야 함. 현 단계 무변경."
202301789,"라베가드정20/600밀리그램(라베프라졸나트륨,침강탄산칼슘)",라베프라졸나트륨/침강탄산칼슘,라베프라졸,침강탄산칼슘(칼슘),name_only,PPI×칼슘(흡수): 저산성→탄산칼슘 용해·흡수↓ 가설,missing(허가사항 PPI×칼슘 흡수 신호 0/18),MFDS 허가사항(nedrug getItemDetail),"라베가드정20/600밀리그램(라베프라졸나트륨,침강탄산칼슘)","https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202301789 | 칼슘=완충/제산 규정(YES), 골절=임상위험 진술(YES), PPI×칼슘흡수=없음",high,reject(신규 PPI×칼슘 relation 작성 불가) + hold(표시 name_only 유지),허가사항에 PPI가 칼슘 흡수를 저해한다는 상호작용 없음(0/18). 라벨의 칼슘 상호작용은 탄산칼슘 성분 자체 작용(테트라사이클린 흡수저해·고칼슘혈증)이며 PPI×칼슘 아님. 침강탄산칼슘은 위산 중화 완충제(영양 칼슘 아님)→흡수 카드 노출 시 '칼슘 추가복용/흡수 안됨' 오독 위험. 골절은 임상 위험 진술(MediStack 금지영역).,"신규 relation 불작성. 차기 PM 라운드 결정사항: (1) name_only 영구유지(가장 보수적) 또는 (2) C를 B/D 완충 복합제 배너 트랙으로 재분류(PPI basis ×B12/×Mg + 복합제 배너, 신규 relation 0). 단 (2)는 기존검토의 '칼슘 흡수 상호작용 미표현=불완전' 우려를 PM이 수용해야 함. 현 단계 무변경."
202400481,"라베가드정10/600밀리그램(라베프라졸나트륨,침강탄산칼슘)",라베프라졸나트륨/침강탄산칼슘,라베프라졸,침강탄산칼슘(칼슘),name_only,PPI×칼슘(흡수): 저산성→탄산칼슘 용해·흡수↓ 가설,missing(허가사항 PPI×칼슘 흡수 신호 0/18),MFDS 허가사항(nedrug getItemDetail),"라베가드정10/600밀리그램(라베프라졸나트륨,침강탄산칼슘)","https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202400481 | 칼슘=완충/제산 규정(YES), 골절=임상위험 진술(YES), PPI×칼슘흡수=없음",high,reject(신규 PPI×칼슘 relation 작성 불가) + hold(표시 name_only 유지),허가사항에 PPI가 칼슘 흡수를 저해한다는 상호작용 없음(0/18). 라벨의 칼슘 상호작용은 탄산칼슘 성분 자체 작용(테트라사이클린 흡수저해·고칼슘혈증)이며 PPI×칼슘 아님. 침강탄산칼슘은 위산 중화 완충제(영양 칼슘 아님)→흡수 카드 노출 시 '칼슘 추가복용/흡수 안됨' 오독 위험. 골절은 임상 위험 진술(MediStack 금지영역).,"신규 relation 불작성. 차기 PM 라운드 결정사항: (1) name_only 영구유지(가장 보수적) 또는 (2) C를 B/D 완충 복합제 배너 트랙으로 재분류(PPI basis ×B12/×Mg + 복합제 배너, 신규 relation 0). 단 (2)는 기존검토의 '칼슘 흡수 상호작용 미표현=불완전' 우려를 PM이 수용해야 함. 현 단계 무변경."
202401498,"라베드온정10/600mg(라베프라졸나트륨, 침강탄산칼슘)",라베프라졸나트륨/침강탄산칼슘,라베프라졸,침강탄산칼슘(칼슘),name_only,PPI×칼슘(흡수): 저산성→탄산칼슘 용해·흡수↓ 가설,missing(허가사항 PPI×칼슘 흡수 신호 0/18),MFDS 허가사항(nedrug getItemDetail),"라베드온정10/600mg(라베프라졸나트륨, 침강탄산칼슘)","https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202401498 | 칼슘=완충/제산 규정(YES), 골절=임상위험 진술(YES), PPI×칼슘흡수=없음",high,reject(신규 PPI×칼슘 relation 작성 불가) + hold(표시 name_only 유지),허가사항에 PPI가 칼슘 흡수를 저해한다는 상호작용 없음(0/18). 라벨의 칼슘 상호작용은 탄산칼슘 성분 자체 작용(테트라사이클린 흡수저해·고칼슘혈증)이며 PPI×칼슘 아님. 침강탄산칼슘은 위산 중화 완충제(영양 칼슘 아님)→흡수 카드 노출 시 '칼슘 추가복용/흡수 안됨' 오독 위험. 골절은 임상 위험 진술(MediStack 금지영역).,"신규 relation 불작성. 차기 PM 라운드 결정사항: (1) name_only 영구유지(가장 보수적) 또는 (2) C를 B/D 완충 복합제 배너 트랙으로 재분류(PPI basis ×B12/×Mg + 복합제 배너, 신규 relation 0). 단 (2)는 기존검토의 '칼슘 흡수 상호작용 미표현=불완전' 우려를 PM이 수용해야 함. 현 단계 무변경."
202401499,"라베드온정20/600mg(라베프라졸나트륨, 침강탄산칼슘)",라베프라졸나트륨/침강탄산칼슘,라베프라졸,침강탄산칼슘(칼슘),name_only,PPI×칼슘(흡수): 저산성→탄산칼슘 용해·흡수↓ 가설,missing(허가사항 PPI×칼슘 흡수 신호 0/18),MFDS 허가사항(nedrug getItemDetail),"라베드온정20/600mg(라베프라졸나트륨, 침강탄산칼슘)","https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202401499 | 칼슘=완충/제산 규정(YES), 골절=임상위험 진술(YES), PPI×칼슘흡수=없음",high,reject(신규 PPI×칼슘 relation 작성 불가) + hold(표시 name_only 유지),허가사항에 PPI가 칼슘 흡수를 저해한다는 상호작용 없음(0/18). 라벨의 칼슘 상호작용은 탄산칼슘 성분 자체 작용(테트라사이클린 흡수저해·고칼슘혈증)이며 PPI×칼슘 아님. 침강탄산칼슘은 위산 중화 완충제(영양 칼슘 아님)→흡수 카드 노출 시 '칼슘 추가복용/흡수 안됨' 오독 위험. 골절은 임상 위험 진술(MediStack 금지영역).,"신규 relation 불작성. 차기 PM 라운드 결정사항: (1) name_only 영구유지(가장 보수적) 또는 (2) C를 B/D 완충 복합제 배너 트랙으로 재분류(PPI basis ×B12/×Mg + 복합제 배너, 신규 relation 0). 단 (2)는 기존검토의 '칼슘 흡수 상호작용 미표현=불완전' 우려를 PM이 수용해야 함. 현 단계 무변경."
