item_seq,item_name,normalized_item_name,ingredient_name,company_name,drug_class,relation_ids,relation_count,nutrients,source_type_inherited,source_url_inherited,source_checked_at,covered_by_relation
198000105,국제독시사이클린하이클레이트수화물캡슐100mg,국제독시사이클린하이클레이트수화물캡슐100mg,독시사이클린,,테트라사이클린계 항생제,7;8;9,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198000105,2026-06-12,True
200002882,덴티스타캡슐(독시사이클린하이클레이트수화물),덴티스타캡슐(독시사이클린하이클레이트수화물),독시사이클린,,테트라사이클린계 항생제,7;8;9,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198000105,2026-06-11,True
201406196,독시라마이신캡슐100mg(독시사이클린수화물),독시라마이신캡슐100mg(독시사이클린수화물),독시사이클린,,테트라사이클린계 항생제,7;8;9,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198000105,2026-06-11,True
201908023,독시메디정(독시사이클린수화물),독시메디정(독시사이클린수화물),독시사이클린,,테트라사이클린계 항생제,7;8;9,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198000105,2026-06-11,True
201507460,독시엔디정(독시사이클린수화물),독시엔디정(독시사이클린수화물),독시사이클린,,테트라사이클린계 항생제,7;8;9,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198000105,2026-06-11,True
201403031,독시정(독시사이클린수화물),독시정(독시사이클린수화물),독시사이클린,,테트라사이클린계 항생제,7;8;9,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198000105,2026-06-11,True
202202687,독시크정50밀리그램(독시사이클린수화물),독시크정50밀리그램(독시사이클린수화물),독시사이클린,,테트라사이클린계 항생제,7;8;9,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198000105,2026-06-11,True
198300718,모노신정(독시사이클린하이클레이트수화물),모노신정(독시사이클린하이클레이트수화물),독시사이클린,,테트라사이클린계 항생제,7;8;9,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198000105,2026-06-11,True
201506123,바이독시정(독시사이클린수화물),바이독시정(독시사이클린수화물),독시사이클린,,테트라사이클린계 항생제,7;8;9,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198000105,2026-06-11,True
199602155,신일모노독시엠캡슐(독시사이클린수화물),신일모노독시엠캡슐(독시사이클린수화물),독시사이클린,,테트라사이클린계 항생제,7;8;9,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198000105,2026-06-12,True
199502147,영풍독시사이클린정100밀리그램,영풍독시사이클린정100밀리그램,독시사이클린,,테트라사이클린계 항생제,7;8;9,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198000105,2026-06-11,True
201903264,씬지로이드정,씬지로이드정,레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-12,True
201902912,씬지로이드정0.0375밀리그램(레보티록신나트륨수화물),씬지로이드정0.0375밀리그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
200401821,씬지로이드정0.05밀리그램(레보티록신나트륨수화물),씬지로이드정0.05밀리그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
201605340,씬지로이드정0.075밀리그램(레보티록신나트륨수화물),씬지로이드정0.075밀리그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
201900107,씬지로이드정0.112밀리그램(레보티록신나트륨수화물),씬지로이드정0.112밀리그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
200501664,씬지로이드정0.15밀리그램(레보티록신나트륨수화물),씬지로이드정0.15밀리그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
197400278,씬지로이드정0.1밀리그램(레보티록신나트륨수화물),씬지로이드정0.1밀리그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
201804237,씬지로이드정0.2밀리그램(레보티록신나트륨수화물),씬지로이드정0.2밀리그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
200301116,씬지록신정100마이크로그램(레보티록신나트륨수화물),씬지록신정100마이크로그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
202500938,씬지록신정112마이크로그램(레보티록신나트륨수화물),씬지록신정112마이크로그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
201706645,씬지록신정125마이크로그램(레보티록신나트륨수화물),씬지록신정125마이크로그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
202500949,씬지록신정137마이크로그램(레보티록신나트륨수화물),씬지록신정137마이크로그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
