candidate_id,drug_ingredient,nutrient,relation_type,mechanism,source_status,source_url_or_basis,itemseqs_checked,evidence_snippet,source_checked_at,evidence_strength,risk_level,potassium_safety_card,pass_to_draft,rejection_or_needs_review_reason,safe_user_copy,internal_note,adversarial_verdict,adversarial_itemseq,adversarial_quote
F-CEPH-01,세파클러,철분,separation,absorption,reject,식약처 nedrug getItemDetail / 세파클러 / 확인 itemSeq 199400579;199400948;199702163 / 철분 동거어 없음 / 확인일 2026-06-14,199400579;199400948;199702163,,2026-06-14,label_missing,low,false,false,fetch 3품목 상호작용/주의/이상반응 문맥에 철분 방향성 동거어 없음 — 한국 허가사항 미기재(literature only 가능). 계열 유추 채택 금지.,,세팔로스포린 철 킬레이션은 성분특이(세프디니르). 계열 일반화 금지 — 세파클러 라벨 직접 동거어만 채택.,,,
F-CEPH-02,세푸록심,철분,separation,absorption,reject,식약처 nedrug getItemDetail / 세푸록심 / 확인 itemSeq 200411029;201403509;201403735 / 철분 동거어 없음 / 확인일 2026-06-14,200411029;201403509;201403735,,2026-06-14,label_missing,low,false,false,fetch 3품목 상호작용/주의/이상반응 문맥에 철분 방향성 동거어 없음 — 한국 허가사항 미기재(literature only 가능). 계열 유추 채택 금지.,,세푸록심악세틸. 위산의존 흡수라 제산제 언급 가능성 있으나 철분 직접 동거어만 채택.,,,
F-CEPH-03,세프포독심,철분,separation,absorption,reject,식약처 nedrug getItemDetail / 세프포독심 / 확인 itemSeq 199300168;201901723;201902330 / 철분 동거어 없음 / 확인일 2026-06-14,199300168;201901723;201902330,,2026-06-14,label_missing,low,false,false,fetch 3품목 상호작용/주의/이상반응 문맥에 철분 방향성 동거어 없음 — 한국 허가사항 미기재(literature only 가능). 계열 유추 채택 금지.,,세프포독심프록세틸. 철분 직접 동거어만 채택.,,,
F-CEPH-04,세프프로질,철분,separation,absorption,reject,식약처 nedrug getItemDetail / 세프프로질 / 확인 itemSeq 200400510;200400930;200402968 / 철분 동거어 없음 / 확인일 2026-06-14,200400510;200400930;200402968,,2026-06-14,label_missing,low,false,false,fetch 3품목 상호작용/주의/이상반응 문맥에 철분 방향성 동거어 없음 — 한국 허가사항 미기재(literature only 가능). 계열 유추 채택 금지.,,철 킬레이션 근거 약함 — 직접 동거어 없으면 reject.,,,
F-CEPH-05,세픽심,철분,separation,absorption,reject,식약처 nedrug getItemDetail / 세픽심 / 확인 itemSeq 198900223;200201179;200300461 / 철분 동거어 없음 / 확인일 2026-06-14,198900223;200201179;200300461,,2026-06-14,label_missing,low,false,false,fetch 3품목 상호작용/주의/이상반응 문맥에 철분 방향성 동거어 없음 — 한국 허가사항 미기재(literature only 가능). 계열 유추 채택 금지.,,철분 직접 동거어만 채택.,,,
F-CEPH-06,세프라딘,철분,separation,absorption,reject,식약처 nedrug getItemDetail / 세프라딘 / 확인 itemSeq 199702165;199703551;200503314 / 철분 동거어 없음 / 확인일 2026-06-14,199702165;199703551;200503314,,2026-06-14,label_missing,low,false,false,fetch 3품목 상호작용/주의/이상반응 문맥에 철분 방향성 동거어 없음 — 한국 허가사항 미기재(literature only 가능). 계열 유추 채택 금지.,,철 킬레이션 근거 약함.,,,
F-CEPH-07,세프카펜,철분,separation,absorption,reject,식약처 nedrug getItemDetail / 세프카펜 / 확인 itemSeq 200500420;200500421;201107505 / 철분 동거어 없음 / 확인일 2026-06-14,200500420;200500421;201107505,,2026-06-14,label_missing,low,false,false,fetch 3품목 상호작용/주의/이상반응 문맥에 철분 방향성 동거어 없음 — 한국 허가사항 미기재(literature only 가능). 계열 유추 채택 금지.,,세프카펜피복실.,,,
F-CEPH-08,세프디토렌,철분,separation,absorption,reject,식약처 nedrug getItemDetail / 세프디토렌 / 확인 itemSeq 199500901;201006942;202201222 / 철분 동거어 없음 / 확인일 2026-06-14,199500901;201006942;202201222,,2026-06-14,label_missing,low,false,false,fetch 3품목 상호작용/주의/이상반응 문맥에 철분 방향성 동거어 없음 — 한국 허가사항 미기재(literature only 가능). 계열 유추 채택 금지.,,세프디토렌피복실. 위산의존 흡수.,,,
F-CEPH-09,세팔렉신,철분,separation,absorption,reject,식약처 nedrug getItemDetail / 세팔렉신 / 확인 itemSeq 198701854;199402215;199501552 / 철분 동거어 없음 / 확인일 2026-06-14,198701854;199402215;199501552,,2026-06-14,label_missing,low,false,false,fetch 3품목 상호작용/주의/이상반응 문맥에 철분 방향성 동거어 없음 — 한국 허가사항 미기재(literature only 가능). 계열 유추 채택 금지.,,index 소수(5)·철 킬레이션 약함 — 동거어 없으면 reject.,,,
F-CEPH-10,세프록사딘,철분,separation,absorption,reject,식약처 nedrug getItemDetail / 세프록사딘 / 확인 itemSeq 199201469 / 철분 동거어 없음 / 확인일 2026-06-14,199201469,,2026-06-14,label_missing,low,false,false,fetch 1품목 상호작용/주의/이상반응 문맥에 철분 방향성 동거어 없음 — 한국 허가사항 미기재(literature only 가능). 계열 유추 채택 금지.,,index 1품목. 동거어 없으면 reject.,,,
D-CORT-01,프레드니솔론,칼륨,monitoring,depletion,needs_review,식약처 nedrug searchDrug / 프레드니솔론 / 국내 대표 품목 미확보 / 확인일 2026-06-14,,,2026-06-14,no_product,moderate,true,false,국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,스테로이드 미네랄코르티코이드 작용 저칼륨혈증. 장기/고용량 맥락 — 참고정보 톤·monitoring.,,,
D-CORT-02,프레드니솔론,칼슘,monitoring,absorption,needs_review,식약처 nedrug searchDrug / 프레드니솔론 / 국내 대표 품목 미확보 / 확인일 2026-06-14,,,2026-06-14,no_product,moderate,false,false,국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,장기 골소실은 골다공증 문맥(흡수 직접 문구 약함). 흡수 동거어 없으면 reject(과다해석 금지).,,,
D-CORT-03,메틸프레드니솔론,칼륨,monitoring,depletion,source_confirmed,식약처 nedrug getItemDetail / 메틸프레드니솔론 / itemSeq 199800324;201207516;201307854 / 칼륨 동거어 / 확인일 2026-06-14 | https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199800324,199800324;201207516;201307854,"용 다음 증상이 나타날 수 있으므로 충분히 관찰하고, 이러한 증상이 나타나는 경우에는 적절한 처치를 한다. 1) 체액ㆍ전해질 : 부종, 나트륨저류, 칼륨손실, 체액저류, 저칼륨성 알칼리혈증, 감수성 환자에 있어서 울혈성 심부전, 고혈압 등이 나타날 수 있다. 2) 근ㆍ골격계 : 근무력증, 대퇴골 및 상완골 말단의 무균성 괴사, 스테로이드성",2026-06-14,high+adv_confirmed,moderate,true,true,,"메틸프레드니솔론을(를) 복용하는 경우 칼륨 상태에 영향이 있을 수 있어, 상태 확인이 필요할 수 있습니다. / 칼륨은 임의로 보충하면 위험할 수 있으므로, 보충 여부는 반드시 의사 또는 약사와 상담하세요.",스테로이드 class 저칼륨혈증. D-CORT-01과 동일 톤.,confirm,199800324,"1) 체액ㆍ전해질 : 부종, 나트륨저류, 칼륨손실, 체액저류, 저칼륨성 알칼리혈증, 감수성 환자에 있어서 울혈성 심부전, 고혈압 등이 나타날 수 있다."
D-CORT-07,메틸프레드니솔론,칼슘,monitoring,absorption,reject,식약처 nedrug getItemDetail / 메틸프레드니솔론 / 확인 itemSeq 199800324;201207516;201307854 / 칼슘 동거어 없음 / 확인일 2026-06-14,199800324;201207516;201307854,,2026-06-14,label_missing,moderate,false,false,fetch 3품목 상호작용/주의/이상반응 문맥에 칼슘 방향성 동거어 없음 — 한국 허가사항 미기재(literature only 가능). 계열 유추 채택 금지.,,골대사 문맥. 흡수 직접 문구 없으면 reject.,,,
