candidate_id,family,drug_ingredient,counterpart,counterpart_type,priority,duplicate_status,existing_status,source_check_allowed,risk_class
RF-F1-0001,F1,시프로플록사신,철분,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0002,F1,시프로플록사신,칼슘,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0003,F1,시프로플록사신,마그네슘,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0004,F1,시프로플록사신,아연,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0005,F1,시프로플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0006,F1,레보플록사신,철분,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0007,F1,레보플록사신,칼슘,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0008,F1,레보플록사신,마그네슘,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0009,F1,레보플록사신,아연,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0010,F1,레보플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0011,F1,목시플록사신,철분,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0012,F1,목시플록사신,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0013,F1,목시플록사신,마그네슘,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0014,F1,목시플록사신,아연,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0015,F1,목시플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0016,F1,오플록사신,철분,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0017,F1,오플록사신,칼슘,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0018,F1,오플록사신,마그네슘,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0019,F1,오플록사신,아연,nutrient,REJECT_PRECHECK,duplicate_live,live,False,known_safe
RF-F1-0020,F1,오플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0021,F1,노르플록사신,철분,nutrient,P0,new,none,True,known_safe
RF-F1-0022,F1,노르플록사신,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0023,F1,노르플록사신,마그네슘,nutrient,P0,new,none,True,known_safe
RF-F1-0024,F1,노르플록사신,아연,nutrient,P0,new,none,True,known_safe
RF-F1-0025,F1,노르플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0026,F1,페플록사신,철분,nutrient,P0,new,none,True,known_safe
RF-F1-0027,F1,페플록사신,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0028,F1,페플록사신,마그네슘,nutrient,P0,new,none,True,known_safe
RF-F1-0029,F1,페플록사신,아연,nutrient,P0,new,none,True,known_safe
RF-F1-0030,F1,페플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0031,F1,로메플록사신,철분,nutrient,P0,new,none,True,known_safe
RF-F1-0032,F1,로메플록사신,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0033,F1,로메플록사신,마그네슘,nutrient,P0,new,none,True,known_safe
RF-F1-0034,F1,로메플록사신,아연,nutrient,P0,new,none,True,known_safe
RF-F1-0035,F1,로메플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0036,F1,발로플록사신,철분,nutrient,P0,new,none,True,known_safe
RF-F1-0037,F1,발로플록사신,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0038,F1,발로플록사신,마그네슘,nutrient,P0,new,none,True,known_safe
RF-F1-0039,F1,발로플록사신,아연,nutrient,P0,new,none,True,known_safe
RF-F1-0040,F1,발로플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0041,F1,자보플록사신,철분,nutrient,P0,new,none,True,known_safe
RF-F1-0042,F1,자보플록사신,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0043,F1,자보플록사신,마그네슘,nutrient,P0,new,none,True,known_safe
RF-F1-0044,F1,자보플록사신,아연,nutrient,P0,new,none,True,known_safe
RF-F1-0045,F1,자보플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0046,F1,프룰리플록사신,철분,nutrient,P0,new,none,True,known_safe
RF-F1-0047,F1,프룰리플록사신,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0048,F1,프룰리플록사신,마그네슘,nutrient,P0,new,none,True,known_safe
RF-F1-0049,F1,프룰리플록사신,아연,nutrient,P0,new,none,True,known_safe
RF-F1-0050,F1,프룰리플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0051,F1,게미플록사신,철분,nutrient,P0,new,none,True,known_safe
RF-F1-0052,F1,게미플록사신,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0053,F1,게미플록사신,마그네슘,nutrient,P0,new,none,True,known_safe
RF-F1-0054,F1,게미플록사신,아연,nutrient,P0,new,none,True,known_safe
RF-F1-0055,F1,게미플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0056,F1,스파르플록사신,철분,nutrient,P0,new,none,True,known_safe
RF-F1-0057,F1,스파르플록사신,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0058,F1,스파르플록사신,마그네슘,nutrient,P0,new,none,True,known_safe
RF-F1-0059,F1,스파르플록사신,아연,nutrient,P0,new,none,True,known_safe
RF-F1-0060,F1,스파르플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0061,F1,가티플록사신,철분,nutrient,P0,new,none,True,known_safe
RF-F1-0062,F1,가티플록사신,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0063,F1,가티플록사신,마그네슘,nutrient,P0,new,none,True,known_safe
RF-F1-0064,F1,가티플록사신,아연,nutrient,P0,new,none,True,known_safe
RF-F1-0065,F1,가티플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0066,F1,토수플록사신,철분,nutrient,P0,new,none,True,known_safe
RF-F1-0067,F1,토수플록사신,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0068,F1,토수플록사신,마그네슘,nutrient,P0,new,none,True,known_safe
RF-F1-0069,F1,토수플록사신,아연,nutrient,P0,new,none,True,known_safe
RF-F1-0070,F1,토수플록사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0071,F1,플루메퀸,철분,nutrient,P0,new,none,True,known_safe
RF-F1-0072,F1,플루메퀸,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0073,F1,플루메퀸,마그네슘,nutrient,P0,new,none,True,known_safe
RF-F1-0074,F1,플루메퀸,아연,nutrient,P0,new,none,True,known_safe
RF-F1-0075,F1,플루메퀸,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
RF-F1-0076,F1,에녹사신,철분,nutrient,P0,new,none,True,known_safe
RF-F1-0077,F1,에녹사신,칼슘,nutrient,P0,new,none,True,known_safe
RF-F1-0078,F1,에녹사신,마그네슘,nutrient,P0,new,none,True,known_safe
RF-F1-0079,F1,에녹사신,아연,nutrient,P0,new,none,True,known_safe
RF-F1-0080,F1,에녹사신,Al/Mg 함유 제산제(약물),drug,P0,new,none,True,known_safe
