candidate_id,family,drug_ingredient,counterpart,priority,sc_status,itemSeq,source_section,source_quote
RF-F1-0091,F1,가레녹사신,철분,P0,no_domestic_product,,,
RF-F1-0092,F1,가레녹사신,칼슘,P0,no_domestic_product,,,
RF-F1-0093,F1,가레녹사신,마그네슘,P0,no_domestic_product,,,
RF-F1-0094,F1,가레녹사신,아연,P0,no_domestic_product,,,
RF-F1-0095,F1,가레녹사신,Al/Mg 함유 제산제(약물),P0,no_domestic_product,,,
RF-F1-0061,F1,가티플록사신,철분,P0,no_domestic_product,,,
RF-F1-0062,F1,가티플록사신,칼슘,P0,no_domestic_product,,,
RF-F1-0063,F1,가티플록사신,마그네슘,P0,no_domestic_product,,,
RF-F1-0064,F1,가티플록사신,아연,P0,no_domestic_product,,,
RF-F1-0065,F1,가티플록사신,Al/Mg 함유 제산제(약물),P0,no_domestic_product,,,
RF-F1-0051,F1,게미플록사신,철분,P0,no_domestic_product,,,
RF-F1-0052,F1,게미플록사신,칼슘,P0,no_domestic_product,,,
RF-F1-0053,F1,게미플록사신,마그네슘,P0,no_domestic_product,,,
RF-F1-0054,F1,게미플록사신,아연,P0,no_domestic_product,,,
RF-F1-0055,F1,게미플록사신,Al/Mg 함유 제산제(약물),P0,no_domestic_product,,,
RF-F1-0021,F1,노르플록사신,철분,P0,source_confirmed_draft_candidate,198500810,병용투여,아연 또는 철분이 함유된 제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 2시간 이내에는 병용하지 않는 것이 바람직하다.
RF-F1-0022,F1,노르플록사신,칼슘,P0,source_confirmed_draft_candidate,198500810,병용투여,"알루미늄 또는 마그네슘 함유 제산제, 칼슘 함유 제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 4시간 이내에는 병용하지 않는 것이 바람직하다."
RF-F1-0023,F1,노르플록사신,마그네슘,P0,direction_mismatch,198500810,,
